Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,0,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,TT Beaumont,SFM Devine,HK Matthews,0,0
2,0,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,TT Beaumont,SFM Devine,HK Matthews,0,0
3,4,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,TT Beaumont,SFM Devine,HK Matthews,4,0
4,0,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,TT Beaumont,SFM Devine,HK Matthews,4,0
5,4,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,TT Beaumont,SFM Devine,HK Matthews,8,0
6,3,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,TT Beaumont,IECM Wong,HK Matthews,11,0
7,0,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,TT Beaumont,IECM Wong,HK Matthews,11,0
8,0,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,TT Beaumont,IECM Wong,HK Matthews,11,0
9,1,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,TT Beaumont,IECM Wong,HK Matthews,12,0
10,3,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,HK Matthews,IECM Wong,TT Beaumont,15,0
11,0,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,TT Beaumont,IECM Wong,HK Matthews,15,0
12,2,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,TT Beaumont,IECM Wong,HK Matthews,17,0
13,0,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,TT Beaumont,IECM Wong,HK Matthews,17,0
14,1,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,HK Matthews,EA Burns,TT Beaumont,18,0
15,0,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,HK Matthews,EA Burns,TT Beaumont,18,0
16,0,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,HK Matthews,EA Burns,TT Beaumont,18,0
17,0,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,HK Matthews,EA Burns,TT Beaumont,18,0
18,0,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,HK Matthews,EA Burns,TT Beaumont,18,0
19,0,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,HK Matthews,EA Burns,TT Beaumont,18,0
20,0,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,HK Matthews,IECM Wong,TT Beaumont,18,0
21,4,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,HK Matthews,IECM Wong,TT Beaumont,22,0
22,0,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,HK Matthews,IECM Wong,TT Beaumont,22,0
23,1,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,HK Matthews,IECM Wong,TT Beaumont,23,0
24,4,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,TT Beaumont,IECM Wong,HK Matthews,27,0
25,1,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,HK Matthews,SFM Devine,TT Beaumont,28,0
26,4,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,TT Beaumont,SFM Devine,HK Matthews,32,0
27,0,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,TT Beaumont,SFM Devine,HK Matthews,32,0
28,4,0,Welsh Fire,1,2023,female,Welsh Fire,3 runs,"Edgbaston, Birmingham",Birmingham Phoenix,field,Birmingham Phoenix,TT Beaumont,SFM Devine,HK Matthews,36,0
