Ball,Runs,Wicket,Team,Innings,Year,Gender,Winner,Winning_Margin,Venue,Toss_Winner,Toss_Decision,Opposition_Team,Batter,Bowler,Non_Striker,Cumulative_Runs,Cumulative_Wickets
1,4,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,LK Bell,G Scrivens,4,0
2,1,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,LK Bell,G Scrivens,5,0
3,1,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,G Scrivens,LK Bell,BL Mooney,6,0
4,0,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,LK Bell,G Scrivens,6,0
5,0,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,LK Bell,G Scrivens,6,0
6,2,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,M Strano,G Scrivens,8,0
7,0,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,M Strano,G Scrivens,8,0
8,4,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,M Strano,G Scrivens,12,0
9,1,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,M Strano,G Scrivens,13,0
10,0,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,G Scrivens,M Strano,BL Mooney,13,0
11,0,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,A Shrubsole,G Scrivens,13,0
12,1,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,A Shrubsole,G Scrivens,14,0
13,0,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,G Scrivens,A Shrubsole,BL Mooney,14,0
14,0,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,G Scrivens,A Shrubsole,BL Mooney,14,0
15,0,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,G Scrivens,A Shrubsole,BL Mooney,14,0
16,2,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,G Scrivens,FG Kemp,BL Mooney,16,0
17,6,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,FG Kemp,G Scrivens,22,0
18,1,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,FG Kemp,G Scrivens,23,0
19,0,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,G Scrivens,FG Kemp,BL Mooney,23,0
20,4,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,G Scrivens,FG Kemp,BL Mooney,27,0
21,0,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,G Scrivens,FG Kemp,BL Mooney,27,0
22,0,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,LK Bell,G Scrivens,27,0
23,4,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,LK Bell,G Scrivens,31,0
24,4,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,LK Bell,G Scrivens,35,0
25,0,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,LK Bell,G Scrivens,35,0
26,1,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,LK Bell,G Scrivens,36,0
27,0,1,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,G Scrivens,GL Adams,BL Mooney,36,1
28,1,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,AC Kerr,GL Adams,BL Mooney,37,1
29,4,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,GL Adams,AC Kerr,41,1
30,1,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,BL Mooney,GL Adams,AC Kerr,42,1
31,1,0,London Spirit,1,2022,female,Southern Brave,6 wickets,"The Rose Bowl, Southampton",London Spirit,bat,Southern Brave,AC Kerr,GL Adams,BL Mooney,43,1
